code_muni,nome_adapta,ano_adapta,valor_txt,susceptibilidade,classe_original,tipo_risco,categoria
4305108,Caxias do Sul/RS,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
2403103,Currais Novos/RN,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
1502806,Curralinho/PA,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
2702405,Delmiro Gouveia/AL,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
2802106,EstÃ¢ncia/SE,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
2910800,Feira de Santana/BA,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
5207808,FirminÃ³polis/GO,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
1503606,Itaituba/PA,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
3135902,JesuÃ¢nia/MG,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
3138401,Leopoldina/MG,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
2919926,Madre de Deus/BA,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
2705507,Murici/AL,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
2925204,Pojuca/BA,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
3304904,SÃ£o GonÃ§alo/RJ,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
3165206,SÃ£o TomÃ© das Letras/MG,2015,0.8,0.8,Muito alto,Deslizamento de terra,Muito alto
2901205,AnagÃ©/BA,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
2501609,Barra de Santa Rosa/PB,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
3119401,Coronel Fabriciano/MG,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
3513405,Cruzeiro/SP,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
2606200,Goiana/PE,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
2304954,GuaiÃºba/CE,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
1503101,GurupÃ¡/PA,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
2608008,JataÃºba/PE,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
3136009,JoaÃ­ma/MG,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
3526605,Lavrinhas/SP,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
2307650,MaracanaÃº/CE,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
3529005,MarÃ­lia/SP,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
3303104,Natividade/RJ,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
2309508,OrÃ³s/CE,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
4211900,PalhoÃ§a/SC,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
3152105,Ponte Nova/MG,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
2707701,Rio Largo/AL,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
3163706,SÃ£o LourenÃ§o/MG,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
4320008,Sapucaia do Sul/RS,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
2515906,Serraria/PB,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
2516409,Tacima/PB,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
1304203,TefÃ©/AM,2015,0.79,0.7899999999999999,Alto,Deslizamento de terra,Alto
2900702,Alagoinhas/BA,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3502507,Aparecida/SP,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
1300300,Autazes/AM,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3104908,Baependi/MG,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
2502706,Borborema/PB,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3509007,Caieiras/SP,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3111200,Campo Belo/MG,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3301009,Campos dos Goytacazes/RJ,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
1301001,Carauari/AM,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
2504207,Catingueira/PB,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
2504306,CatolÃ© do Rocha/PB,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3201605,ConceiÃ§Ã£o da Barra/ES,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3301850,Guapimirim/RJ,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3128303,GuaranÃ©sia/MG,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3527207,Lorena/SP,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
2308708,Morada Nova/CE,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
2408003,MossorÃ³/RN,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
5106109,Nossa Senhora do Livramento/MT,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3147907,Passos/MG,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
2310506,Pedra Branca/CE,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
2512101,Pombal/PB,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3543402,RibeirÃ£o Preto/SP,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3546306,Santa Cruz das Palmeiras/SP,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
2929354,SÃ£o JosÃ© da VitÃ³ria/BA,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
2111508,SÃ£o Mateus do MaranhÃ£o/MA,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
3165537,Sarzedo/MG,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
2930105,Senhor do Bonfim/BA,2015,0.78,0.7799999999999999,Alto,Deslizamento de terra,Alto
